CreateTime,Title,Solution
12/26/2011,deviation in cluster processes in agdgroupmgr processstat command,due to power outage
12/26/2011,issue in dord1 interface,due to power outage
12/26/2011,pstack generating in axd in logs,due to power outage
12/26/2011,issue in dord1 interface,due to power outage
12/26/2011,deviation in cluster processes in agdgroupmgr processstat command,due to power outage
12/26/2011,pstack generating in axd in logs,due to power outage
12/26/2011,pstack generating in axd in logs,due to power outage
12/26/2011,license issue observed at axd event logs,no issue .
12/26/2011,issue in dord0 interface,no issue .
12/28/2011,high disk space on axd,no deviation found and logs attached in chat.
12/28/2011,high disk space on axd,disk space has been reduced.
12/29/2011,high active tariff size drx,mail sent to config team.
12/29/2011,default rate is not defined for time at axd,no issue observed.. logs attached..
12/30/2011,high active tariff size drx,the check has been modified for the below ips : 
12/31/2011,fail  close errors deviation in /var/opt/appl_97/logs/rfdrinterface.log.0,prev cleanup
12/31/2011,deviation in sol aggregation in /tmp/dladm logs  date    y  m  d .log file,prev cleanup
12/31/2011,fail  close errors deviation in /var/opt/appl_97/logs/rfdrinterface.log.0,no major issue observed
12/31/2011,high active tariff size drx,no major issue observed
12/31/2011,high utilization of data base at axd,old alarm is cleared now hence closing
12/31/2011,the actdir server is not reachable drx,no deviation found and logs attached in chat.
12/31/2011,high disk space on axd,no major issue observed
01/01/2012,high disk space on axd,disk space has been reduced.
01/01/2012,rjr/jr  link status in down state,prev cleanup
01/01/2012,high active tariff size,prev cleanup
01/01/2012,high disk space on axd,prev cleanup
01/01/2012,fail  close errors deviation in /var/opt/appl_97/logs/rfdrinterface.log.0,prev cleanup
01/01/2012,deviation in ecr logs in var opt ecr logs secr log file drx,prev cleanup
01/01/2012,high active tariff size drx,prev cleanup
01/01/2012,deviation in rpg status,prev cleanup
01/01/2012,deviation in ecr logs in var opt ecr logs secr log file drx,prev cleanup
01/01/2012,default rate is not defined for time at axd,prev cleanup
01/02/2012,license issue observed at axd event logs,no issue .
01/02/2012,license issue observed at axd event logs,no issue .
01/02/2012,license issue observed at axd event logs,no issue .
01/02/2012,issue in dord0 interface,no issue .
01/02/2012,default rate is not defined for time at axd,[alpha:server1 ~]# netstat -an | egrep 10020 | wc -l
01/03/2012,the actdir server is not reachable drx,prev cleanup
01/05/2012,user not found  internal error  costing failed deviation in traffic handler stats,no deviation found and logs attached in chat
01/06/2012,the actdir server is not reachable drx,old alarm is cleared now hence closing
01/07/2012,user not found  internal error  costing failed deviation in traffic handler stats,no issue .
01/07/2012,the actdir server is not reachable drx,prev cleanup
01/07/2012,pstack generating in axd in logs,old alarm is cleared now hence closing
01/07/2012,the actdir server is not reachable drx,prev cleanup
01/07/2012,high disk space on axd,no issue .
01/08/2012,high utilization of data base at axd,maxd connectivity is fine now hence closing
01/08/2012,high utilization of data base at axd,maxd connectivity is fine now hence closing
01/08/2012,deviation in ecr logs in var opt ecr logs secr log file drx,prev cleanup
01/08/2012,ip   high rate of arbol execution failure observed in eventlogfile.txt.0,prev cleanup
01/09/2012,rjr/jr  link status in down state,prev cleanup
01/09/2012,rjr/jr  link status in down state,prev cleanup
01/09/2012,rjr/jr  link status in down state,prev cleanup
01/09/2012,rjr/jr  link status in down state,prev cleanup
01/09/2012,pstack generating in axd in logs,closing. it was due to replication issue between a & b node. in which db has been copied from b to a.
01/09/2012,high disk space on axd,closing. it was due to replication issue between a & b node. in which db has been copied from b to a.
01/09/2012,repication down for secondary db,closing. it was due to replication issue between a & b node. in which db has been copied from b to a.
01/09/2012,error  notice in datasync logs,currently no deviation found. clearing queued ticket in bin
01/09/2012,mul nine errors present in ticketerrors log file drx,checked and no deviation observed
01/09/2012,the actdir server is not reachable drx,currently no deviation found. clearing queued ticket in bin
01/09/2012,repication down for secondary db,currently no deviation found. clearing queued ticket in bin
01/09/2012,update errors in mul nine logs,currently no deviation found. clearing queued ticket in bin
01/10/2012,deviation in cluster processes in agdgroupmgr processstat command,currently no deviation found. clearing queued ticket in bin
01/10/2012,mul nine errors present in ticketerrors log file drx,checked and found no deviation observed
01/10/2012,high active tariff size drx,no issue  .
01/10/2012,deviation in cluster processes in agdgroupmgr processstat command,currently no deviation found. clearing queued ticket in bin
01/11/2012,update errors in mul nine logs,currently no deviation found. clearing queued ticket in bin
01/11/2012,deviation in cluster processes in agdgroupmgr processstat command,currently no deviation found. clearing queued ticket in bin
01/11/2012,error  notice in datasync logs,currently no deviation found. clearing queued ticket in bin
01/11/2012,pstack generating in axd in logs,currently no deviation found. clearing queued ticket in bin
01/11/2012,ip   high rate of arbol execution failure observed in eventlogfile.txt.0,prev cleanup
01/11/2012,high cpu utilization,no issue .
01/12/2012,user not found  internal error  costing failed deviation in traffic handler stats,no issue .
01/12/2012,user not found  internal error  costing failed deviation in traffic handler stats,no issue .
1/13/2012 ,license issue observed at axd event logs,server1:~# df -kh
1/13/2012 ,license issue observed at axd event logs,server1:~# df -kh
1/13/2012 ,issue in dord0 interface,server1:~# df -kh
1/13/2012 ,default rate is not defined for time at axd,server1:~# df -kh
1/13/2012 ,high cpu utilization,server1:~# df -kh
1/14/2012 ,license issue observed at axd event logs,server1:~# df -kh
1/14/2012 ,user not found  internal error  costing failed deviation in traffic handler stats,server1:~# df -kh
1/14/2012 ,license issue observed at axd event logs,old alarm is cleared now hence closing
1/14/2012 ,license issue observed at axd event logs,old alarm is cleared now hence closing
1/14/2012 ,license issue observed at axd event logs,old alarm is cleared now hence closing
1/14/2012 ,issue in dord0 interface,old alarm is cleared now hence closing
1/14/2012 ,high cpu utilization,old alarm is cleared now hence closing
1/15/2012 ,high disk space on axd,prev cleanup
1/15/2012 ,rjr/jr  link status in down state,prev cleanup
1/15/2012 ,rjr/jr  link status in down state,prev cleanup
1/15/2012 ,rjr/jr  link status in down state,prev cleanup
1/15/2012 ,default rate is not defined for time at axd,prev cleanup
1/16/2012 ,pa hanging nodes drx,prev cleanup
1/17/2012 ,fail  close errors deviation in /var/opt/appl_97/logs/rfdrinterface.log.0,prev cleanup
1/17/2012 ,fail  close errors deviation in /var/opt/appl_97/logs/rfdrinterface.log.0,prev cleanup
1/17/2012 ,deviation in sol aggregation in /tmp/dladm logs  date    y  m  d .log file,prev cleanup
1/17/2012 ,high disk space on axd,prev cleanup
1/17/2012 ,high active tariff size drx,prev cleanup
1/18/2012 ,license issue observed at axd event logs,no issue .
1/18/2012 ,license issue observed at axd event logs,no issue .
1/18/2012 ,issue in dord0 interface,no issue .
1/18/2012 ,license issue observed at axd event logs,no issue .
1/18/2012 ,high cpu utilization,no issue .
1/18/2012 ,ip   high rate of arbol execution failure observed in eventlogfile.txt.0,prev cleanup
1/18/2012 ,the actdir server is not reachable drx,prev cleanup
1/19/2012 ,the actdir server is not reachable drx,no issue .
1/20/2012 ,deviation in rpg status,prev cleanup
1/20/2012 ,deviation in ecr logs in var opt ecr logs secr log file drx,prev cleanup
1/21/2012 ,deviation in cluster processes in agdgroupmgr processstat command,currently no deviation found. clearing queued ticket in bin
1/21/2012 ,deviation in ecr logs in var opt ecr logs secr log file drx,prev cleanup
1/22/2012 ,issue in dord0 interface,no issue .
1/22/2012 ,high saved tariff size in costing directory,no issue .
1/22/2012 ,rma data sync issue,old dated alarms present. logs attached..
1/22/2012 ,high disk space on axd,prev cleanup
1/22/2012 ,issue in dord0 interface,prev cleanup
1/22/2012 ,high saved tariff size in costing directory,no issue .
1/22/2012 ,high saved tariff size in costing directory,no issue .
1/22/2012 ,deviation in ecr logs in var opt ecr logs secr log file drx,prev cleanup
1/22/2012 ,high active tariff size drx,prev cleanup
1/22/2012 ,rjr/jr  link status in down state,rr2 links are fine and no impact.
1/22/2012 ,rjr/jr  link status in down state,no deviation found and rr2 links are up.
1/22/2012 ,high cpu utilization,no issue .
1/23/2012 ,high disk space on axd,customer initiated cancellation:   disk space reduced
1/23/2012 ,high utilization of data base at axd,maxd connectivity is fine now hence closing
1/24/2012 ,the actdir server is not reachable drx,maxd connectivity is fine now hence closing
1/24/2012 ,default rate is not defined for time at axd,alarm is cleared hence closing
1/25/2012 ,pstack generating in axd in logs,no deviation found and logs attached in chat.
1/26/2012 ,high active tariff size drx,current time no deviation found and now i am closing this ticket if again getting then will check with tool team
1/26/2012 ,rjr/jr  link status in down state,ticket is closed after analysis.
1/26/2012 ,issue in dord0 interface,no issue .
1/26/2012 ,deviation in ecr logs in var opt ecr logs secr log file drx,ticket is closed after analysis.
1/26/2012 ,the actdir server is not reachable drx,ticket is closed after analysis.
1/27/2012 ,high active tariff size drx,current time no deviation found and now i am closing this ticket if again getting then will check with tool team
1/27/2012 ,the actdir server is not reachable drx,no issue .
1/27/2012 ,default rate is not defined for time at axd,no issue .
1/27/2012 ,deviation in ecr logs in var opt ecr logs secr log file drx,ticket is closed after analysis.
1/27/2012 ,default rate is not defined for time at axd,no issue .
1/29/2012 ,high disk space on axd,ticket is closed after analysis.
1/29/2012 ,high utilization of data base at axd,current time no deviation found and now i am closing this ticket if again getting then will check with tool team
1/29/2012 ,high utilization of data base at axd,below is the update from local. 
1/29/2012 ,high utilization of data base at axd,below is the update from local. 
1/29/2012 ,the actdir server is not reachable drx,ticket is closed after analysis.
1/29/2012 ,the actdir server is not reachable drx,ticket is closed after analysis.
1/29/2012 ,the actdir server is not reachable drx,current time no deviation found and now i am closing this ticket if again getting then will check with tool team
1/29/2012 ,ip   high rate of arbol execution failure observed in eventlogfile.txt.0,ticket is closed after analysis.
1/30/2012 ,issue in dord0 interface,no issue .
1/30/2012 ,the actdir server is not reachable drx,ticket is closed after analysis.
1/30/2012 ,user not found  internal error  costing failed deviation in traffic handler stats,no issue .
1/30/2012 ,high cpu utilization,no issue .
1/31/2012 ,multiple cron job processes,ticket is closed after analysis.
1/31/2012 ,the actdir server is not reachable drx,no issue .
02/01/2012,issue in dord0 interface,old alarm is cleared now hence closing
02/01/2012,high utilization of data base at axd,"closing. disk space has been reduced, old audit logs has been deleted from /var/audit in ert & newarr and from gtt, /var/log path."
02/01/2012,high cpu utilization,cpu utilization currently in under threshold.
02/01/2012,the actdir server is not reachable drx,closing as there is no error for current time.
02/02/2012,default rate is not defined for time at axd,customer initiated cancellation:   no issue .
02/03/2012,user not found  internal error  costing failed deviation in traffic handler stats,currently no deviation found in traffic handler.
02/03/2012,multiple cron job processes,customer initiated cancellation:   no issue .
02/03/2012,issue in data synchronizer logs,customer initiated cancellation:   no issue .
02/03/2012,auto negotiation on in linux nextgensystem,customer initiated cancellation:   no issue .
02/03/2012,all disk status,customer initiated cancellation:   no issue .
02/03/2012,issue in data synchronizer logs,customer initiated cancellation:   no issue .
02/03/2012,multiple cron job processes,customer initiated cancellation:   no issue .
02/03/2012,issue in power supply in sudo hpasmcli s show powersupply  command,customer initiated cancellation:   no issue .
02/03/2012,auto negotiation on in linux nextgensystem,customer initiated cancellation:   no issue .
02/03/2012,all disk status,customer initiated cancellation:   no issue .
02/03/2012,multiple cron job processes,customer initiated cancellation:   no issue .
02/03/2012,issue in data synchronizer logs,customer initiated cancellation:   no issue .
02/03/2012,cassandra logs,customer initiated cancellation:   no issue .
02/03/2012,cassandra logs,customer initiated cancellation:   no issue .
02/03/2012,auto negotiation on in linux nextgensystem,customer initiated cancellation:   no issue .
02/03/2012,all disk status,customer initiated cancellation:   no issue .
02/03/2012,link error present in  netstat i egrep v no awk f  print 1 5 6 7 9 10 11 command,customer initiated cancellation:   no issue .
02/03/2012,recoverytool backup,customer initiated cancellation:   no issue .
02/03/2012,recoverytool backup,customer initiated cancellation:   no issue .
02/03/2012,recoverytool backup,customer initiated cancellation:   no issue .
02/03/2012,link error present in  netstat i egrep v no awk f  print 1 5 6 7 9 10 11 command,customer initiated cancellation:   no issue .
02/03/2012,link error present in  netstat i egrep v no awk f  print 1 5 6 7 9 10 11 command,customer initiated cancellation:   no issue .
02/04/2012,the actdir server is not reachable drx,old alarm is cleared now hence closing
02/04/2012,user not found  internal error  costing failed deviation in traffic handler stats,old alarm is cleared now hence closing
02/04/2012,high utilization of data base at axd,old alarm is cleared now hence closing
02/04/2012,high cpu utilization,old alarm is cleared now hence closing
02/05/2012,the actdir server is not reachable drx,"old alarm is cleared now ,hence clsoing the ticket"
02/06/2012,mul nine errors present in ticketerrors log file drx,"no deviation observed, currently no errors"
02/06/2012,rjr/jr  link status in down state,due to fiber cut.
02/06/2012,rjr/jr  link status in down state,due to fiber cut.
02/06/2012,rjr/jr  link status in down state,due to fiber cut.
02/06/2012,rjr/jr  link status in down state,due to fiber cut.
02/06/2012,rjr/jr  link status in down state,due to fiber cut.
02/06/2012,rjr/jr  link status in down state,due to fiber cut.
02/06/2012,rjr/jr  link status in down state,due to fiber cut.
02/06/2012,rjr/jr  link status in down state,due to fiber cut.
02/06/2012,default rate is not defined for time at axd,customer initiated cancellation:   no issue .
02/07/2012,the actdir server is not reachable drx,old alarm is cleared now hence closing
02/08/2012,high disk space on axd,traffic is restored now after fiber cut hence closing
